# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Sep 27 22:08:09 2022
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
# CONSTRAINT:  order by sy_pnum desc
#
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_denserr1:    Stellar Density Upper Unc. [g/cm**3]
# COLUMN st_denserr2:    Stellar Density Lower Unc. [g/cm**3]
# COLUMN st_denslim:     Stellar Density Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
default_flag,sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,sy_dist,sy_disterr1,sy_disterr2
1,1,8,Transit,7.00815100,0.00001900,-0.00001900,0,0.074000,0.016000,-0.016000,0,1.310,0.170,-0.170,0,,,,,,,,,,,,,,,,,,,,,0,,6080.00,260.00,-170.00,0,1.20,0.10,-0.10,0,1.20,0.10,-0.10,0,-0.120,0.180,-0.180,0,4.40,,,0,,,,,,,,,848.2540000,10.8185000,-10.8185000
1,1,8,Transit,8.71937500,0.00002700,-0.00002700,0,0.089000,0.012000,-0.012000,0,1.190,0.140,-0.140,0,,,,,,,,,,,,,,,,,,,,,0,,6080.00,260.00,-170.00,0,1.20,0.10,-0.10,0,1.20,0.10,-0.10,0,-0.120,0.180,-0.180,0,4.40,,,0,,,,,,,,,848.2540000,10.8185000,-10.8185000
1,1,8,Transit,59.73667000,0.00038000,-0.00038000,0,0.320000,0.050000,-0.050000,0,2.870,0.300,-0.300,0,,,,,,,,,,,,,,,,,,,,,0,,6080.00,260.00,-170.00,0,1.20,0.10,-0.10,0,1.20,0.10,-0.10,0,-0.120,0.180,-0.180,0,4.40,,,0,,,,,,,,,848.2540000,10.8185000,-10.8185000
1,1,8,Transit,91.93913000,0.00073000,-0.00073000,0,0.420000,0.060000,-0.060000,0,2.660,0.290,-0.290,0,,,,,,,,,,,,,,,,,,,,,0,,6080.00,260.00,-170.00,0,1.20,0.10,-0.10,0,1.20,0.10,-0.10,0,-0.120,0.180,-0.180,0,4.40,,,0,,,,,,,,,848.2540000,10.8185000,-10.8185000
1,1,8,Transit,124.91440000,0.00190000,-0.00190000,0,0.480000,0.090000,-0.090000,0,2.880,0.520,-0.520,0,,,,,,,,,,,,,,,,,,,,,0,,6080.00,260.00,-170.00,0,1.20,0.10,-0.10,0,1.20,0.10,-0.10,0,-0.120,0.180,-0.180,0,4.40,,,0,,,,,,,,,848.2540000,10.8185000,-10.8185000
1,1,8,Transit,210.60697000,0.00043000,-0.00043000,0,0.710000,0.080000,-0.080000,0,8.100,0.800,-0.800,0,,,,,,,,,,,,,,,,,,,,,0,,6080.00,260.00,-170.00,0,1.20,0.10,-0.10,0,1.20,0.10,-0.10,0,-0.120,0.180,-0.180,0,4.40,,,0,,,,,,,,,848.2540000,10.8185000,-10.8185000
1,1,8,Transit,331.60059000,0.00037000,-0.00037000,0,1.010000,0.110000,-0.110000,0,11.300,1.000,-1.000,0,,,,,,,,,,,,,,,,,,,,,0,,6080.00,260.00,-170.00,0,1.20,0.10,-0.10,0,1.20,0.10,-0.10,0,-0.120,0.180,-0.180,0,4.40,,,0,,,,,,,,,848.2540000,10.8185000,-10.8185000
1,1,8,Transit,14.44912000,0.00020000,-0.00020000,0,,,,,1.320,0.210,-0.210,0,,,,,,,,,,,,,,,,,709,75,-75,0,0,,6015.00,60.00,-60.00,0,1.29,0.17,-0.17,0,1.12,0.05,-0.05,0,0.098,0.040,-0.040,0,4.27,0.10,-0.10,0,,,,,,,,,848.2540000,10.8185000,-10.8185000
1,1,7,Transit,1.51082600,0.00000600,-0.00000600,0,0.011540,0.000100,-0.000100,0,1.116,0.014,-0.012,0,1.37400,0.06900,-0.06900,0,5.44194,0.26465,-0.27568,0,,,,,4.15,0.16,-0.16,0,,,,,1,,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0,0.09,0.00,0.00,0,,,,,5.24,0.01,-0.01,0,,,,,75.0500,1.0200,-1.6600,0,,,
1,1,7,Transit,2.42193700,0.00001800,-0.00001800,0,0.015800,0.000130,-0.000130,0,1.097,0.014,-0.012,0,1.30800,0.05600,-0.05600,0,5.46399,0.22054,-0.23709,0,,,,,2.21,0.09,-0.09,0,,,,,1,,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0,0.09,0.00,0.00,0,,,,,5.24,0.01,-0.01,0,,,,,75.0500,1.0200,-1.6600,0,,,
1,1,7,Transit,4.04921900,0.00002600,-0.00002600,0,0.022270,0.000190,-0.000190,0,0.788,0.011,-0.010,0,0.38800,0.01200,-0.01200,0,4.36678,0.15438,-0.16541,0,,,,,1.11,0.04,-0.04,0,,,,,1,,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0,0.09,0.00,0.00,0,,,,,5.24,0.01,-0.01,0,,,,,75.0500,1.0200,-1.6600,0,,,
1,1,7,Transit,6.10101300,0.00003500,-0.00003500,0,0.029250,0.002500,-0.002500,0,0.920,0.013,-0.012,0,0.69200,0.02200,-0.02200,0,4.90160,0.16541,-0.18195,0,,,,,0.65,0.03,-0.03,0,,,,,1,,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0,0.09,0.00,0.00,0,,,,,5.24,0.01,-0.01,0,,,,,75.0500,1.0200,-1.6600,0,,,
1,1,7,Transit,9.20754000,0.00003200,-0.00003200,0,0.038490,0.000330,-0.000330,0,1.045,0.013,-0.012,0,1.03900,0.03100,-0.03100,0,5.02290,0.13784,-0.15989,0,,,,,0.37,0.01,-0.01,0,,,,,1,,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0,0.09,0.00,0.00,0,,,,,5.24,0.01,-0.01,0,,,,,75.0500,1.0200,-1.6600,0,,,
1,1,7,Transit,12.35244600,0.00005400,-0.00005400,0,0.046830,0.000400,-0.000400,0,1.129,0.015,-0.013,0,1.32100,0.03800,-0.03800,0,5.05599,0.13784,-0.15989,0,,,,,0.25,0.01,-0.01,0,,,,,1,,2566.00,26.00,-26.00,0,0.12,0.00,0.00,0,0.09,0.00,0.00,0,,,,,5.24,0.01,-0.01,0,,,,,75.0500,1.0200,-1.6600,0,,,
